Year,CO2 (ppmv),Temperature Anomaly [Â°C],Year(for Temp)
-803718.8684046668,207.28544010704545,-8.82,1148.338
-803182.4423336205,202.2268391289192,-8.92,1149.411
-802572.6746300211,204.8619380343144,-8.88,1150.499
-802059.8706065303,207.49864546768265,-8.54,1151.557
-801975.2843758516,202.92172318213744,-8.73,1152.592
-801759.2524242424,202.64710592439064,-8.53,1153.551
-800922.087424243,198.6572141815183,-8.23,1154.444
-799286.0590909094,198.68361088983107,-7.33,1155.292
-796731.2978787882,200.4894558655116,-6.51,1156.124
-795428.8181818188,197.90878630711256,-5.91,1156.921
-794902.590909091,198.7924036449917,-5.61,1157.6689999999999
-793737.3181818175,204.617506415808,-5.05,1158.382
-793172.454545454,208.7893628439667,-4.27,1159.063
-791902.7583333338,218.3926416685888,-3.7,1159.7179999999998
-791569.3888888892,213.35775959891657,-3.09,1160.365
-790667.3012121207,214.4503513988741,-2.59,1160.981
-790080.783636363,224.68576227610308,-2.37,1161.558
-789106.8827272729,230.5501346789688,-1.75,1162.115
-788689.4051515154,227.37775029010007,-0.54,1162.702
-788003.0090909094,235.48574308581584,-0.63,1163.2939999999999
-787544.0409090909,238.64095357456617,-1.04,1163.895
-786741.8715151517,257.0184549055622,-1.05,1164.53
-786529.2399999999,257.19893666253785,-1.15,1165.17
-785853.5690909092,265.99732874144445,-1.71,1165.827
-785405.5127272734,269.3559592885488,-1.7,1166.472
-784613.2569696968,264.34502908314164,-2.04,1167.144
-784239.6018181813,262.229808343788,-1.84,1167.8200000000002
-783569.0509090904,259.66462384723866,-2.28,1168.481
-783084.0824242425,255.84554031289508,-2.37,1169.137
-782311.7558787881,260.9181501208988,-2.17,1169.7910000000002
-781248.5296969693,255.01817636257545,-2.13,1170.451
-780778.4496969697,257.43630369580933,-2.17,1171.127
-779936.6818181819,251.50919000069743,-2.34,1171.799
-779612.8318181814,257.21033919112165,-2.67,1172.464
-778769.4363636365,252.52125685420285,-2.7,1173.1390000000001
-778238.9227272724,254.4321062869957,-2.69,1173.841
-777417.5454545458,254.6895620893129,-2.96,1174.558
-777107.9836363638,254.92704442683268,-3.47,1175.297
-776282.7918181821,252.455538875688,-3.82,1176.0430000000001
-775731.7496969699,247.3032103301009,-4.13,1176.761
-774832.6969696968,248.92347258064217,-4.52,1177.4470000000001
-774382.2587878784,245.3180552676516,-4.32,1178.0929999999998
-773588.0110606056,241.7410824819303,-3.93,1178.751
-773008.808181818,238.3850775692524,-3.8,1179.441
-772094.1363636358,239.2312024030053,-3.84,1180.1689999999999
-771734.4690909092,237.7794476149145,-4.54,1180.9279999999999
-771299.8181818182,246.030581800184,-5.33,1181.701
-771045.6363636361,243.85475201990903,-6.0,1182.442
-770787.9595454549,246.4945680375353,-6.4,1183.12
-770524.5636363636,243.88525238228883,-6.22,1183.762
-770225.2645454548,239.7120056138232,-5.56,1184.3719999999998
-769862.666666667,234.24054819146696,-5.1,1184.984
-769569.3333333333,236.31890028889168,-4.76,1185.601
-769070.6666666664,229.56423626852964,-4.72,1186.239
-768649.1466666668,230.62690342109488,-5.16,1186.917
-767701.4236363642,225.86635666623,-5.78,1187.613
-767111.3843939397,221.6409365039408,-6.72,1188.308
-766167.2575757578,223.8179649132784,-7.33,1188.978
-765797.1624242424,224.86466602091244,-7.27,1189.583
-764858.9121212122,230.6229188352788,-7.12,1190.162
-764238.504545454,232.1154554720444,-6.43,1190.7179999999998
-763901.4848484849,229.40748753827657,-6.07,1191.243
-763636.6363636359,233.66090567198847,-5.77,1191.7350000000001
-763231.816565657,222.92608638468548,-5.3,1192.242
-762726.8824242424,223.89295015434172,-5.09,1192.78
-761820.5842424238,219.9481576823577,-5.5,1193.357
-761151.8036363634,213.9998028589904,-6.25,1193.94
-760216.0430303031,214.6940079861074,-7.22,1194.525
-759914.4881818183,216.64080861985224,-7.54,1195.114
-758989.9418181818,222.7085788690187,-7.79,1195.7
-758566.0551515151,225.61582539678184,-7.97,1196.284
-758158.2727272728,225.37366760867587,-8.24,1196.8609999999999
-757928.2121212124,223.0236554615564,-8.37,1197.4389999999999
-757611.8787878784,226.94301148021165,-8.42,1198.01
-757185.6915151512,222.7200859322036,-8.59,1198.5720000000001
-756412.4157575755,218.3519526756556,-8.58,1199.1219999999998
-755835.4509090913,213.61139014973045,-8.5,1199.6779999999999
-754900.6803030302,209.44507971285617,-8.32,1200.234
-754616.1684848485,208.1036711012396,-8.44,1200.797
-753636.8284848488,203.2996954570858,-8.6,1201.358
-753164.5775757573,199.046053641412,-8.69,1201.909
-751984.6545454543,203.90279658442105,-8.63,1202.48
-751539.0690909092,195.43388919380428,-8.62,1203.0529999999999
-750615.8818181817,197.49572596202373,-8.56,1203.625
-750023.8681818177,193.54717137122023,-8.56,1204.2179999999998
-749086.2499999993,191.296036260158,-8.41,1204.829
-748756.4409090908,192.0759223880364,-8.67,1205.455
-747864.1786666662,190.17483689562675,-8.84,1206.066
-747312.9345454549,188.67887489361212,-8.95,1206.675
-746386.8809090916,187.5437569379241,-8.6,1207.2930000000001
-745990.1957575758,187.9522843282685,-8.47,1207.914
-745227.0375757577,187.91988159174213,-8.25,1208.5349999999999
-744669.9260606065,190.24154927677864,-8.24,1209.133
-743721.0454545448,187.29232436787936,-8.08,1209.7060000000001
-742573.1418181813,188.96881973948896,-7.16,1210.222
-742009.0763636365,188.1795997771601,-6.27,1210.723
-741112.1696969698,187.3271928405565,-5.62,1211.201
-740694.7490909089,188.64664196412704,-5.38,1211.7060000000001
-739924.1339393943,189.1426274551468,-4.76,1212.191
-739379.9024242423,184.7670847091236,-4.52,1212.646
-738510.9242424242,183.3925392147808,-4.47,1213.163
-738156.4524848479,185.40236646163788,-4.03,1213.645
-737224.5554545455,185.6096600660596,-3.72,1214.145
-736630.9945454549,191.7441063146352,-3.99,1214.664
-735710.1154545457,204.5191038769512,-4.15,1215.1570000000002
-735319.8193939395,206.92018121563933,-3.95,1215.673
-734572.2181818187,213.14402038614645,-3.93,1216.1970000000001
-734157.3054545454,217.1944729687879,-3.79,1216.759
-733459.909090909,217.88283774216444,-4.2,1217.3980000000001
-733184.5709090909,214.6624205315424,-4.85,1218.054
-732512.6199999998,216.1485998526368,-5.28,1218.6689999999999
-732072.2299999999,210.60174265873587,-5.23,1219.2910000000002
-731378.9999999995,207.72075200492253,-5.31,1219.95
-731043.4999999999,208.1143039021245,-5.69,1220.6309999999999
-730371.75,213.7318787827168,-5.83,1221.338
-729910.9999999998,211.62321092369945,-6.05,1222.0520000000001
-729234.2272727275,210.702373057978,-5.96,1222.787
-728958.3136363637,210.16351745201928,-6.1,1223.4650000000001
-728310.314545455,212.1716466152816,-5.07,1224.1979999999999
-727886.9384848482,210.0149974521128,-5.18,1225.018
-727037.5303030305,211.0778130948141,-5.75,1225.767
-726643.9021212123,210.24197486380825,-7.14,1226.522
-725948.5024242426,210.0675097854836,-8.32,1227.466
-724626.8636363636,211.42656926315465,-8.77,1228.357
-724299.591818182,211.075995557622,-7.9,1229.2359999999999
-723524.4313636366,211.49197634968232,-7.13,1229.999
-723025.3554545457,210.4806821716978,-6.92,1230.853
-722191.9999999999,214.0125927948141,-6.47,1231.6219999999998
-721830.2266666669,212.54540888381376,-6.23,1232.375
-721044.5945454545,212.108071771009,-5.59,1233.1399999999999
-720555.8105454544,216.09677010835372,-5.26,1233.838
-719739.8636363633,218.956944794401,-5.2,1234.521
-719457.5168181815,219.2003556861584,-4.23,1235.192
-718640.7595454546,217.0426911316349,-4.02,1235.908
-718137.2854545454,212.030518626341,-3.9,1236.5900000000001
-717337.1818181823,200.8234844705578,-4.29,1237.257
-716828.348484849,193.46090298257133,-4.19,1237.913
-716005.4848484852,189.87843381686548,-4.05,1238.5639999999999
-715398.2727272725,198.42559568024177,-4.0,1239.194
-714635.909090909,210.5098874628876,-4.06,1239.8220000000001
-714360.1630303029,213.5999929026329,-3.88,1240.409
-713615.3763636363,227.5826981949172,-4.02,1240.989
-713165.732727273,223.14262795384457,-3.5,1241.5639999999999
-712453.7969696966,227.08319713303533,-3.56,1242.13
-712115.578181818,227.6373405550536,-3.67,1242.688
-711362.5,223.8856925917568,-3.7,1243.22
-710293.7272727275,224.001743721128,-3.75,1243.73
-710071.4654545452,224.1234469162136,-3.46,1244.23
-709449.0436363637,225.3889691337453,-3.21,1244.713
-709033.3563636366,224.9017352890244,-3.21,1245.175
-708506.4545454548,227.032822730358,-3.05,1245.616
-707959.5454545452,230.50735989141307,-2.78,1246.0439999999999
-707503.7878787875,231.43297127712552,-2.45,1246.471
-707009.1515151514,234.83616059567032,-2.36,1246.886
-706463.4484848484,233.1122848743296,-2.49,1247.281
-706249.6806060602,233.5834734270881,-2.4,1247.661
-705693.7254545457,233.50528810247425,-2.02,1248.048
-705360.6972727273,238.8480696520816,-1.77,1248.4360000000001
-704760.7395454546,236.0453403013913,-2.16,1248.8229999999999
-704542.9518181819,236.0536913584069,-2.31,1249.216
-704103.1981818182,237.661231516828,-2.45,1249.596
-703776.9518181817,237.18468030646915,-2.75,1249.973
-703293.9090909093,235.09172492612444,-2.49,1250.335
-703103.3442424244,234.04269676194463,-2.55,1250.683
-702631.8054545454,233.54448715907165,-2.26,1251.0259999999998
-702300.5218181817,232.8295884774548,-1.92,1251.366
-701846.0731818182,232.2805206457517,-1.84,1251.701
-701518.5218181817,233.3539062097976,-1.88,1252.03
-701059.9848484849,230.58782898361125,-1.94,1252.363
-700784.2727272725,232.1824465330735,-1.69,1252.69
-700250.9236363637,232.162121529527,-1.86,1253.008
-700043.1490909093,230.88479116742863,-2.07,1253.327
-699574.5236363634,232.4560078431405,-1.85,1253.649
-699318.527272727,235.4215271002262,-1.77,1253.97
-698864.8381818184,236.6070014153336,-1.92,1254.287
-698535.0242424243,236.7173884297771,-1.83,1254.608
-698153.6854545457,237.2061159374093,-1.94,1254.9279999999999
-697914.7075757575,239.72641961823388,-2.0,1255.239
-697489.0187878788,239.00952129629684,-2.08,1255.5610000000001
-697265.7512121215,238.8636108455049,-1.82,1255.871
-696803.2309090907,241.8320311598419,-1.86,1256.17
-696555.5381818184,240.89904625193032,-1.55,1256.4859999999999
-696089.0036363635,241.0299151581724,-1.6,1256.812
-695796.6751515149,239.884743914407,-2.04,1257.129
-695392.4521212119,238.4199792836092,-2.39,1257.461
-695140.2909090907,239.4354918894625,-2.5,1257.79
-694694.8345454544,238.13269799082363,-2.7,1258.112
-694484.8896969694,238.0518499460627,-2.75,1258.438
-694031.88,238.73723027829791,-2.51,1258.781
-693782.3090909093,236.7987347932641,-2.59,1259.12
-693309.2618181818,239.79653384828728,-3.05,1259.46
-692999.1381818183,239.31113174299168,-3.05,1259.807
-692586.8242424241,240.45669225384145,-3.14,1260.164
-692330.3484848483,239.3406332632852,-3.35,1260.5140000000001
-691871.2928787881,237.7560079776989,-3.7,1260.864
-691624.0430303031,243.6995486644999,-3.5,1261.214
-691127.0923636364,238.47330442832688,-3.36,1261.565
-690882.4590909089,239.2983940505077,-3.44,1261.9299999999998
-690368.3436363635,243.5623167259663,-3.5,1262.292
-690017.9624242428,239.37873479610943,-3.73,1262.658
-689517.6684848482,238.41599878810229,-3.97,1263.0349999999999
-689271.8348484851,239.2879301088554,-4.07,1263.411
-688786.391212121,236.4535724768809,-4.41,1263.789
-688524.6527272727,235.8000553317824,-4.61,1264.1770000000001
-688001.4515151515,232.26747586461005,-4.62,1264.569
-687743.2575757576,232.0747771551575,-4.68,1264.975
-687207.8254545457,230.66878933516543,-4.83,1265.3899999999999
-686859.8703030302,227.6358560751815,-5.23,1265.8020000000001
-686350.1345454548,227.65046207304687,-5.46,1266.208
-686050.381818182,226.72892608676472,-5.34,1266.629
-685495.4972727271,222.9650129691488,-5.2,1267.088
-685204.044242424,222.7044405108711,-5.58,1267.567
-684631.8109090904,222.61792578852743,-6.02,1268.065
-684319.1090909089,220.6316642042182,-6.95,1268.551
-683729.8654545456,220.62261407272987,-7.34,1269.013
-683344.8436363635,221.82035466276145,-7.02,1269.458
-682808.0590909088,224.3560776723839,-6.46,1269.8780000000002
-682473.6818181815,225.6416020967289,-5.95,1270.279
-681878.7524242424,222.6967127552533,-5.15,1270.731
-681507.8634848485,220.2352186749276,-4.67,1271.22
-680790.0857575755,219.1411841639893,-5.65,1271.733
-680393.7121212126,221.30626385386472,-6.9,1272.212
-679719.9266666665,227.89516025735253,-7.34,1272.67
-679275.6733333332,225.80855816583323,-6.71,1273.129
-678677.6078787883,233.1080061479115,-5.89,1273.636
-678362.5848484847,233.61111358821643,-5.94,1274.1509999999998
-677785.1745454543,232.70102424711223,-6.54,1274.7069999999999
-677505.3739393939,229.16045804591084,-7.05,1275.278
-676791.6193939392,220.086237115456,-7.51,1275.868
-676378.1818181815,218.20973466460345,-7.68,1276.48
-675650.7363636363,216.59070226826563,-7.99,1277.092
-675202.3090909093,219.96238463739664,-8.25,1277.71
-674580.736363636,222.5748544587668,-8.16,1278.2939999999999
-673456.5333333331,216.1224817958984,-7.62,1278.8980000000001
-673078.3999999999,211.69145610328425,-7.28,1279.491
-672279.3778787885,204.669745646326,-7.24,1280.1480000000001
-671746.1060606058,201.1220985980582,-8.31,1280.871
-670811.3824242426,197.1291521940604,-8.89,1281.652
-670200.8827272733,194.789560383579,-8.95,1282.454
-669507.9260606061,196.8275423165405,-9.03,1283.278
-669120.7454545456,194.87837297832084,-9.05,1284.113
-668346.3187878784,191.5141318512642,-8.94,1284.925
-667869.2987878791,187.6555369926176,-8.42,1285.711
-666965.5375757578,180.6705433303129,-7.82,1286.487
-666465.2636363631,177.7146610306198,-8.0,1287.347
-665459.8573333337,173.71362014216885,-8.3,1288.257
-664803.3600000001,174.76867941399888,-8.64,1289.135
-663886.5212121212,180.53768178380184,-8.02,1290.03
-663371.9393939392,180.166597073922,-8.36,1290.9070000000002
-662458.0909090904,187.7670323098909,-7.52,1291.745
-662370.3999999997,192.55321359717547,-7.38,1292.58
-661987.5151515151,191.02249326390395,-6.71,1293.45
-660927.5500000003,190.86103041769672,-6.87,1294.3890000000001
-660846.6094545458,193.9082170435541,-7.58,1295.393
-660332.1772727269,189.6905841804821,-7.92,1296.412
-659265.9000000005,191.59170346951032,-7.72,1297.411
-659168.32,193.9700304568731,-7.29,1298.4470000000001
-658513.5499999999,188.43427447380083,-7.47,1299.444
-657461.8999999996,185.6837857761792,-7.07,1300.478
-657343.8200000001,187.3800806732598,-7.46,1301.569
-656814.0999999994,184.098136363561,-7.82,1302.672
-655771.999999999,190.8769405532136,-7.71,1303.778
-655704.2060606063,189.23340881737832,-7.68,1304.8809999999999
-655231.0909090905,192.9341212467433,-7.73,1306.0929999999998
-654182.6499999991,200.35242454933484,-8.21,1307.411
-653574.3499999999,199.99595342018023,-8.86,1308.738
-652488.65,194.8160292990657,-8.84,1310.0520000000001
-651780.25,192.8691774329536,-8.68,1311.336
-650758.9500000003,186.7937683040444,-8.39,1312.69
-650154.2636363631,187.2748940558699,-8.92,1314.0439999999999
-648997.0999999997,193.44315462070247,-8.9,1315.324
-648398.4636363634,189.2501799432969,-8.24,1316.688
-647241.0999999993,196.171494104952,-8.8,1318.036
-646662.4181818187,193.4765987078096,-8.72,1319.355
-645304.8499999992,191.8480609628653,-8.37,1320.5140000000001
-644426.9469696959,189.885480968256,-7.17,1321.51
-643200.6499999997,195.8204274432848,-5.54,1322.403
-642350.8272727265,195.3061298127235,-4.42,1323.2
-640906.65,191.5605717991007,-3.19,1323.9270000000001
-640124.6045454537,191.3842569534652,-2.2,1324.684
-638422.2499999993,190.1777336005101,-2.69,1325.438
-637468.2651515146,188.8477364074226,-2.63,1326.204
-635764.3666666652,195.33150117951013,-2.84,1326.946
-634571.56060606,194.00258992033588,-2.52,1327.658
-633059.0333333323,194.85936588137287,-2.59,1328.356
-632931.1448484845,195.94989153226652,-1.95,1329.05
-632127.5378787883,193.09789993536265,-1.96,1329.722
-630406.9409090906,196.49917279673912,-2.38,1330.424
-629576.322727272,200.4570693283412,-2.29,1331.096
-627916.1000000006,200.77734554085592,-1.79,1331.795
-627819.852727273,205.26582182975852,-2.28,1332.467
-627189.6181818179,199.52416462021893,-1.94,1333.105
-625880.0999999994,205.76310728563763,-1.46,1333.7269999999999
-625019.4272727271,215.70968264504967,-1.28,1334.328
-624097.499999999,228.5122253513537,-0.97,1334.94
-623447.9242424238,235.02330647237795,-1.3,1335.534
-622546.9499999993,237.9285070136237,-1.04,1336.1219999999998
-621104.95,239.19230883467588,-1.35,1336.69
-621000.732727273,243.8854524675644,-1.04,1337.283
-619701.4500000002,243.5306835863856,-1.46,1337.87
-618333.7499999999,245.8865878724808,-1.43,1338.4589999999998
-617003.7499999994,248.28893339724928,-1.47,1339.0149999999999
-615659.5681818179,252.63944486217684,-1.26,1339.575
-614406.5999999999,252.729800513971,-1.09,1340.146
-614349.1163636366,252.8982584181087,-1.37,1340.731
-613190.6,252.74797477389265,-1.74,1341.326
-611992.7999999997,256.193578648728,-2.01,1341.921
-610811.9666666661,258.13797445364014,-2.35,1342.5259999999998
-609650.6333333328,259.6847091794925,-2.94,1343.181
-609601.0127272727,257.8151013837554,-3.21,1343.839
-608479.5000000001,257.7448677422332,-3.47,1344.493
-607297.3000000004,259.22379791893974,-3.51,1345.1660000000002
-606029.2999999997,254.57832546938147,-3.92,1345.85
-604675.9090909091,248.4801850050678,-4.22,1346.5259999999998
-603353.1499999992,244.5322516170048,-4.19,1347.212
-601999.15,239.14012591458967,-4.33,1347.876
-600650.7500000002,237.8582812314746,-4.23,1348.513
-599305.1499999998,232.45478922791705,-5.18,1349.2089999999998
-597864.6318181817,229.38148051861887,-4.99,1349.904
-597268.2181818187,225.9716626647501,-5.35,1350.6
-596379.7499999994,219.0222803388292,-5.54,1351.333
-595853.6136363635,216.27309709713364,-6.42,1352.108
-594841.1333333332,216.4410115698623,-6.7,1352.81
-594271.5575757573,221.2172428733,-6.31,1353.454
-593486.4666666667,232.91795566697328,-5.44,1354.0410000000002
-592913.8121212114,237.9772146198636,-4.42,1354.5990000000002
-592096.754545454,238.1475936125431,-3.89,1355.179
-591611.2454545454,233.1632188953882,-4.32,1355.7440000000001
-590835.516666666,229.3866700921104,-4.63,1356.3339999999998
-590433.4712121211,225.678803565834,-5.09,1356.917
-589069.4666666666,237.37751240309967,-5.3,1357.5259999999998
-588538.8000000002,243.5553025827732,-5.68,1358.138
-588090.145454545,248.1046423657793,-5.92,1358.699
-587475.3500000003,250.20456464222792,-4.99,1359.184
-586990.9045454541,246.34602904387208,-3.47,1359.663
-586329.3499999996,238.7841158534624,-3.48,1360.17
-585938.6681818177,234.40092907192803,-4.05,1360.6860000000001
-585221.8499999993,225.9929310765137,-4.62,1361.222
-584770.8424242425,223.95763277250387,-5.18,1361.795
-582008.8000000002,210.6390178335049,-6.11,1362.38
-581624.2545454543,206.68125254107684,-6.73,1362.966
-580886.2999999999,209.8834178204889,-6.52,1363.479
-580504.5272727271,215.44586651227405,-5.49,1364.01
-579978.2999999996,219.4126580601745,-6.1,1364.5149999999999
-579596.5272727276,225.2070402346668,-5.75,1365.016
-579168.6499999997,230.2553890769855,-5.9,1365.554
-578864.0045454544,236.17021956160747,-6.89,1366.0720000000001
-578451.7833333332,243.8071398156684,-7.03,1366.551
-578260.5045454543,244.13978325747763,-6.31,1367.001
-577883.1166666667,251.47302309267096,-5.72,1367.408
-577330.5499999998,252.92340485161623,-4.81,1367.787
-576792.3499999997,249.0568689785398,-4.23,1368.154
-576246.3499999997,251.0792763522184,-4.1,1368.493
-575703.8500000001,251.341725346752,-3.45,1368.807
-575165.1000000001,251.2965766771463,-2.81,1369.1219999999998
-574649.0999999999,252.8973536409592,-3.04,1369.402
-574162.8499999997,252.543697553062,-2.31,1369.665
-573704.5333333331,248.8639219697805,-1.46,1369.9160000000002
-573283.9636363636,252.08002667419612,-1.07,1370.164
-572856.0000000001,251.8615047665413,-1.16,1370.408
-572414.6545454544,251.7666008144979,-1.06,1370.6480000000001
-571963.0166666665,248.7207803984476,-1.1,1370.886
-571525.7499999998,249.18618138857704,-1.08,1371.117
-571103.5166666666,247.65697248974385,-0.92,1371.355
-570719.8727272728,246.30955184938028,-1.36,1371.598
-570365.4999999999,250.3009961681342,-1.71,1371.8339999999998
-570024.6909090908,251.6,-1.83,1372.068
-569683.3575757575,249.6,-1.95,1372.316
-569311.4424242425,251.8,-2.27,1372.5529999999999
-568912.1272727273,251.8,-1.87,1372.786
-568513.4606060607,251.3,-1.83,1373.019
-568117.2484848484,250.0,-1.95,1373.251
-567733.9272727272,251.3,-2.11,1373.4769999999999
-567364.5939393939,250.2,-1.73,1373.703
-566980.1454545455,253.0,-1.73,1373.924
-566584.2363636364,252.8,-1.62,1374.1390000000001
-566254.1393939394,253.9,-1.42,1374.346
-565934.8909090909,253.2,-1.14,1374.548
-565598.6545454545,254.5,-0.99,1374.7559999999999
-565289.4909090908,253.9,-1.37,1374.96
-564968.3515151516,254.3,-1.22,1375.163
-564638.6363636364,253.7,-1.23,1375.3690000000001
-564295.303030303,251.4,-1.41,1375.5720000000001
-563945.6424242425,252.6,-1.31,1375.783
-563588.9636363637,252.4,-1.76,1375.984
-563184.296969697,251.4,-1.29,1376.1860000000001
-562774.3575757574,247.6,-1.35,1376.392
-562360.5636363636,245.8,-1.63,1376.608
-561977.896969697,245.7,-2.15,1376.807
-561585.7393939394,242.3,-1.32,1377.009
-561184.8545454546,240.1,-1.53,1377.21
-560705.6000000001,234.1,-1.43,1377.417
-560360.4909090908,234.6,-1.86,1377.6219999999998
-559938.0727272726,231.9,-1.79,1377.8220000000001
-559500.7393939394,231.6,-1.51,1378.0230000000001
-559015.6000000001,228.3,-1.69,1378.22
-558486.618181818,230.3,-1.44,1378.415
-557922.6181818182,230.2,-1.38,1378.6100000000001
-557686.7636363636,229.7,-1.45,1378.806
-557366.0060606062,234.5,-1.49,1378.999
-556827.6909090909,238.1,-1.42,1379.193
-556356.0181818182,240.4,-1.48,1379.388
-556204.5636363635,245.6,-1.61,1379.5810000000001
-555888.206060606,250.5,-1.5,1379.772
-555707.1393939393,244.0,-1.48,1379.966
-555435.0545454546,249.1,-1.64,1380.155
-555248.6545454545,243.0,-1.42,1380.344
-554973.2909090909,241.0,-1.47,1380.5259999999998
-554457.0242424243,233.9,-1.09,1380.7150000000001
-553892.3454545456,226.7,-1.49,1380.9070000000002
-553208.3454545455,224.3,-1.77,1381.095
-552529.6181818182,223.6,-1.51,1381.284
