year,month,meant,rain
1941,11,6.9,67.2
1941,12,6.5,41.7
1942,1,4.3,91.9
1942,2,2.9,25.8
1942,3,6.3,76.4
1942,4,8.4,36.9
1942,5,10.4,108.2
1942,6,13.1,4.0
1942,7,14.6,57.0
1942,8,14.9,93.0
1942,9,12.5,122.4
1942,10,9.4,33.0
1942,11,5.1,9.7
1942,12,7.4,62.1
1943,1,5.9,107.2
1943,2,6.7,22.0
1943,3,6.9,20.3
1943,4,9.8,33.9
1943,5,10.0,88.1
1943,6,13.2,80.6
1943,7,14.8,45.1
1943,8,14.4,50.5
1943,9,12.2,76.7
1943,10,10.6,53.8
1943,11,6.6,52.7
1943,12,5.1,38.0
1944,1,7.0,84.6
1944,2,4.8,25.5
1944,3,5.7,11.5
1944,4,9.6,44.1
1944,5,10.6,18.9
1944,6,12.6,31.6
1944,7,15.0,57.7
1944,8,15.6,56.9
1944,9,11.6,146.4
1944,10,8.7,72.1
1944,11,6.5,124.2
1944,12,5.1,48.9
1945,1,2.0,30.9
1945,2,7.6,56.7
1945,3,8.5,14.7
1945,4,9.2,37.4
1945,5,10.7,49.4
1945,6,13.4,83.4
1945,7,15.1,82.9
1945,8,14.8,24.0
1945,9,13.7,66.6
1945,10,11.5,43.6
1945,11,8.2,15.3
1945,12,6.7,86.5
1946,1,4.7,59.8
1946,2,5.9,89.0
1946,3,6.0,43.0
1946,4,8.6,32.3
1946,5,9.3,56.0
1946,6,12.1,74.6
1946,7,14.5,61.8
1946,8,13.3,128.3
1946,9,12.8,145.6
1946,10,10.5,51.9
1946,11,7.9,101.2
1946,12,4.1,78.2
1947,1,3.9,69.9
1947,2,0.2,62.3
1947,3,3.9,147.5
1947,4,8.1,71.6
1947,5,10.6,87.9
1947,6,13.1,104.6
1947,7,14.3,69.2
1947,8,16.3,32.7
1947,9,13.6,59.5
1947,10,11.3,18.5
1947,11,7.5,73.1
1947,12,5.6,119.1
1948,1,4.8,171.4
1948,2,5.3,35.3
1948,3,8.7,39.2
1948,4,8.2,62.5
1948,5,9.7,64.3
1948,6,12.4,71.1
1948,7,14.2,57.0
1948,8,14.3,88.6
1948,9,13.0,53.1
1948,10,10.2,39.1
1948,11,9.0,41.6
1948,12,6.5,106.9
1949,1,6.2,53.4
1949,2,6.6,25.8
1949,3,6.1,57.6
1949,4,9.2,46.1
1949,5,10.2,40.4
1949,6,14.3,22.3
1949,7,15.6,40.7
1949,8,15.2,80.3
1949,9,14.7,23.1
1949,10,11.3,96.3
1949,11,7.1,36.5
1949,12,5.9,74.8
1950,1,6.0,10.5
1950,2,5.5,107.3
1950,3,7.4,33.6
1950,4,7.1,51.1
1950,5,10.6,41.6
1950,6,14.6,28.8
1950,7,14.7,81.6
1950,8,14.2,145.8
1950,9,11.8,102.8
1950,10,9.8,78.4
1950,11,5.3,50.9
1950,12,2.2,62.3
1951,1,4.3,69.5
1951,2,3.2,60.4
1951,3,4.4,85.9
1951,4,6.1,28.6
1951,5,8.8,52.8
1951,6,12.9,22.9
1951,7,15.0,47.9
1951,8,13.8,83.3
1951,9,13.4,71.4
1951,10,10.8,13.8
1951,11,7.6,125.6
1951,12,5.6,81.3
1952,1,3.0,87.0
1952,2,4.1,14.1
1952,3,6.9,31.1
1952,4,8.6,39.0
1952,5,11.7,54.3
1952,6,13.1,39.2
1952,7,15.5,28.7
1952,8,14.9,98.4
1952,9,10.5,61.1
1952,10,9.2,85.5
1952,11,5.6,88.8
1952,12,4.5,50.0
1953,1,5.2,15.8
1953,2,5.7,44.8
1953,3,5.7,9.3
1953,4,6.7,65.5
1953,5,11.9,50.9
1953,6,13.4,38.6
1953,7,14.7,78.7
1953,8,15.0,76.8
1953,9,13.5,43.8
1953,10,10.1,42.3
1953,11,8.4,62.6
1953,12,7.6,51.5
1954,1,4.5,33.4
1954,2,4.4,59.3
1954,3,6.2,54.1
1954,4,8.0,14.3
1954,5,10.3,95.6
1954,6,12.5,38.7
1954,7,13.7,55.2
1954,8,13.5,70.8
1954,9,11.7,56.5
1954,10,11.4,133.9
1954,11,6.6,100.9
1954,12,7.3,100.3
1955,1,4.0,86.2
1955,2,2.1,68.1
1955,3,4.2,31.7
1955,4,9.4,21.3
1955,5,9.1,61.8
1955,6,12.7,113.9
1955,7,16.1,14.1
1955,8,16.8,85.3
1955,9,13.8,47.6
1955,10,8.7,25.4
1955,11,8.1,45.7
1955,12,6.7,108.4
1956,1,3.9,88.4
1956,2,2.2,30.7
1956,3,6.9,45.6
1956,4,7.5,47.6
1956,5,11.2,16.1
1956,6,12.7,53.9
1956,7,14.6,98.5
1956,8,12.9,155.0
1956,9,13.4,90.3
1956,10,9.6,41.1
1956,11,7.1,31.5
1956,12,7.0,89.1
1957,1,6.1,52.2
1957,2,5.1,60.0
1957,3,9.5,70.3
1957,4,8.2,26.4
1957,5,10.3,77.1
1957,6,13.5,48.5
1957,7,15.1,86.9
1957,8,14.4,88.3
1957,9,12.0,131.7
1957,10,10.2,71.7
1957,11,6.9,39.3
1957,12,5.7,74.9
1958,1,4.7,40.0
1958,2,5.4,101.6
1958,3,4.4,23.4
1958,4,7.8,29.9
1958,5,10.0,103.9
1958,6,13.0,168.5
1958,7,14.6,109.5
1958,8,14.7,140.6
1958,9,14.3,128.8
1958,10,10.7,52.0
1958,11,8.1,45.4
1958,12,5.4,90.3
1959,1,3.1,47.4
1959,2,6.4,13.1
1959,3,7.4,39.7
1959,4,8.5,44.1
1959,5,11.4,73.6
1959,6,14.0,37.2
1959,7,15.8,45.2
1959,8,15.9,17.6
1959,9,14.3,24.3
1959,10,11.7,106.7
1959,11,7.3,89.6
1959,12,6.2,132.1
1960,1,5.1,87.4
1960,2,4.1,35.2
1960,3,6.6,97.2
1960,4,8.9,27.2
1960,5,12.0,52.4
1960,6,14.6,51.1
1960,7,14.6,139.8
1960,8,14.2,86.3
1960,9,12.3,81.2
1960,10,10.1,161.3
1960,11,7.1,117.7
1960,12,4.1,95.4
1961,1,4.4,106.3
1961,2,7.8,50.8
1961,3,8.8,4.0
1961,4,9.4,90.4
1961,5,10.7,29.6
1961,6,13.4,42.4
1961,7,14.0,52.6
1961,8,14.3,47.3
1961,9,13.6,86.4
1961,10,9.8,58.8
1961,11,6.8,52.8
1961,12,4.0,57.1
1962,1,4.9,41.1
1962,2,5.4,26.7
1962,3,3.5,53.6
1962,4,7.5,40.8
1962,5,10.0,56.8
1962,6,12.4,24.9
1962,7,13.7,68.0
1962,8,13.7,73.1
1962,9,11.8,129.2
1962,10,10.4,16.8
1962,11,6.6,47.9
1962,12,4.8,75.3
1963,1,0.9,41.1
1963,2,1.9,61.9
1963,3,6.6,65.2
1963,4,7.9,47.0
1963,5,9.6,42.0
1963,6,13.2,54.3
1963,7,13.9,23.5
1963,8,13.6,103.1
1963,9,12.2,44.9
1963,10,11.0,47.6
1963,11,7.7,95.9
1963,12,5.0,16.4
1964,1,6.1,14.8
1964,2,5.3,28.3
1964,3,5.5,106.6
1964,4,8.2,62.3
1964,5,11.9,45.4
1964,6,13.0,51.0
1964,7,15.1,47.4
1964,8,14.5,81.3
1964,9,13.6,51.7
1964,10,9.2,62.3
1964,11,8.0,26.2
1964,12,4.9,111.8
1965,1,3.9,97.3
1965,2,4.1,4.7
1965,3,6.0,54.6
1965,4,8.3,45.4
1965,5,10.9,51.9
1965,6,13.6,72.9
1965,7,13.1,79.2
1965,8,14.2,55.4
1965,9,11.8,67.7
1965,10,11.2,41.4
1965,11,5.3,182.3
1965,12,5.0,97.1
1966,1,5.0,94.6
1966,2,6.4,114.5
1966,3,7.2,40.2
1966,4,7.0,151.8
1966,5,10.8,52.3
1966,6,14.3,119.5
1966,7,14.4,37.1
1966,8,14.2,56.5
1966,9,14.1,61.3
1966,10,9.2,132.9
1966,11,5.6,43.3
1966,12,5.9,115.1
1967,1,5.4,48.5
1967,2,5.7,83.8
1967,3,6.8,26.4
1967,4,8.6,33.9
1967,5,8.9,129.4
1967,6,13.8,11.4
1967,7,15.4,83.7
1967,8,14.3,64.3
1967,9,12.9,115.5
1967,10,9.8,94.4
1967,11,6.2,45.7
1967,12,5.3,45.5
1968,1,5.7,96.1
1968,2,3.2,15.9
1968,3,6.4,41.5
1968,4,7.3,58.6
1968,5,9.2,51.8
1968,6,13.8,51.4
1968,7,14.2,15.9
1968,8,15.0,106.6
1968,9,13.5,103.5
1968,10,12.5,59.8
1968,11,8.1,78.8
1968,12,5.2,109.1
1969,1,5.6,105.4
1969,2,2.1,41.8
1969,3,4.4,46.9
1969,4,7.7,62.3
1969,5,10.4,111.2
1969,6,13.0,46.4
1969,7,16.0,43.8
1969,8,15.2,34.1
1969,9,13.0,44.9
1969,10,13.1,11.1
1969,11,5.1,90.0
1969,12,4.9,63.5
1970,1,4.8,62.5
1970,2,3.9,60.4
1970,3,4.9,32.5
1970,4,7.0,85.3
1970,5,12.3,13.2
1970,6,15.1,31.6
1970,7,14.6,68.2
1970,8,14.7,68.3
1970,9,13.4,53.8
1970,10,10.8,59.2
1970,11,7.6,128.0
1970,12,5.6,50.6
1971,1,6.0,39.4
1971,2,5.9,39.7
1971,3,5.9,78.8
1971,4,7.7,52.4
1971,5,10.4,34.0
1971,6,12.3,71.8
1971,7,15.7,62.8
1971,8,14.7,66.9
1971,9,14.7,27.0
1971,10,12.6,34.4
1971,11,7.2,48.0
1971,12,7.8,36.4
1972,1,4.9,110.6
1972,2,5.6,59.7
1972,3,6.4,50.1
1972,4,8.5,49.2
1972,5,10.1,66.7
1972,6,11.3,58.6
1972,7,14.9,41.1
1972,8,13.9,24.0
1972,9,12.2,7.5
1972,10,11.3,40.8
1972,11,6.3,78.2
1972,12,7.3,82.6
1973,1,6.6,52.2
1973,2,5.4,32.5
1973,3,6.9,11.1
1973,4,7.3,48.1
1973,5,10.6,70.9
1973,6,14.3,20.2
1973,7,14.8,72.8
1973,8,15.2,108.9
1973,9,13.5,76.2
1973,10,10.0,59.2
1973,11,6.9,60.8
1973,12,5.8,72.7
1974,1,7.0,81.4
1974,2,5.9,50.9
1974,3,6.2,31.7
1974,4,7.9,43.4
1974,5,10.2,87.6
1974,6,12.7,39.5
1974,7,14.3,99.7
1974,8,14.4,30.2
1974,9,11.1,116.0
1974,10,7.9,26.6
1974,11,6.4,57.7
1974,12,8.3,37.9
1975,1,6.6,82.6
1975,2,6.3,26.2
1975,3,5.5,43.3
1975,4,8.5,42.8
1975,5,9.4,43.4
1975,6,14.0,14.9
1975,7,16.4,27.8
1975,8,16.3,35.9
1975,9,12.3,124.3
1975,10,11.2,55.1
1975,11,7.3,54.3
1975,12,5.9,33.1
1976,1,6.4,66.1
1976,2,6.0,29.3
1976,3,6.0,65.8
1976,4,8.1,17.7
1976,5,10.7,47.7
1976,6,15.7,22.5
1976,7,16.0,82.8
1976,8,16.2,6.6
1976,9,12.6,144.3
1976,10,9.7,156.7
1976,11,6.4,39.1
1976,12,3.4,48.0
1977,1,3.3,57.8
1977,2,5.6,124.4
1977,3,7.4,57.3
1977,4,7.2,43.4
1977,5,10.0,22.5
1977,6,12.3,65.5
1977,7,15.5,26.1
1977,8,15.1,68.1
1977,9,13.0,29.2
1977,10,12.0,76.5
1977,11,5.8,53.8
1977,12,7.4,65.1
1978,1,4.1,59.4
1978,2,3.9,50.3
1978,3,6.7,63.0
1978,4,6.8,29.6
1978,5,11.4,27.3
1978,6,12.7,37.1
1978,7,14.3,50.5
1978,8,14.5,116.7
1978,9,14.0,38.4
1978,10,12.2,31.8
1978,11,9.2,64.1
1978,12,6.0,217.0
1979,1,2.3,42.3
1979,2,3.4,83.4
1979,3,4.8,63.7
1979,4,7.3,53.1
1979,5,9.0,82.2
1979,6,13.6,44.0
1979,7,15.7,47.0
1979,8,14.2,96.5
1979,9,12.9,41.5
1979,10,11.3,119.0
1979,11,7.7,51.4
1979,12,5.6,112.4
1980,1,4.1,115.2
1980,2,6.4,68.5
1980,3,5.4,73.7
1980,4,8.8,8.2
1980,5,11.0,41.0
1980,6,13.0,79.0
1980,7,13.9,39.4
1980,8,15.1,97.8
1980,9,14.2,97.5
1980,10,9.1,113.7
1980,11,7.4,41.4
1980,12,6.3,49.7
1981,1,6.1,32.8
1981,2,4.9,48.4
1981,3,8.2,101.6
1981,4,7.9,49.0
1981,5,10.7,92.3
1981,6,13.1,77.1
1981,7,14.8,35.5
1981,8,16.0,11.6
1981,9,14.4,102.8
1981,10,7.6,109.3
1981,11,8.3,48.8
1981,12,3.1,133.0
1982,1,4.9,50.2
1982,2,6.3,23.9
1982,3,6.3,45.4
1982,4,9.0,19.5
1982,5,10.8,59.6
1982,6,14.1,102.2
1982,7,15.6,9.2
1982,8,14.9,65.6
1982,9,13.5,84.0
1982,10,10.2,88.2
1982,11,7.2,128.9
1982,12,5.0,70.3
1983,1,6.7,63.8
1983,2,3.6,44.8
1983,3,7.1,61.0
1983,4,6.4,67.1
1983,5,9.7,79.1
1983,6,13.6,54.6
1983,7,17.7,18.1
1983,8,16.9,45.4
1983,9,13.5,76.6
1983,10,10.5,47.3
1983,11,8.6,21.3
1983,12,7.5,123.2
1984,1,3.9,99.0
1984,2,5.7,60.3
1984,3,5.4,53.2
1984,4,8.6,32.6
1984,5,10.1,34.4
1984,6,14.3,38.1
1984,7,16.1,30.8
1984,8,16.7,95.0
1984,9,13.2,76.7
1984,10,10.9,56.2
1984,11,7.2,97.2
1984,12,6.1,87.7
1985,1,2.9,66.5
1985,2,5.0,52.0
1985,3,5.7,72.5
1985,4,8.7,40.2
1985,5,10.3,70.1
1985,6,12.0,78.5
1985,7,15.1,107.2
1985,8,13.5,124.6
1985,9,14.5,38.2
1985,10,11.1,19.7
1985,11,4.8,33.5
1985,12,7.0,72.4
1986,1,4.4,103.4
1986,2,1.8,10.2
1986,3,6.0,64.7
1986,4,5.9,48.2
1986,5,10.4,62.5
1986,6,13.6,82.1
1986,7,14.8,57.5
1986,8,12.2,158.7
1986,9,11.8,3.6
1986,10,10.6,57.0
1986,11,7.6,102.2
1986,12,6.0,71.8
1987,1,3.8,36.6
1987,2,5.1,34.5
1987,3,5.3,56.6
1987,4,9.5,71.8
1987,5,10.3,21.7
1987,6,12.2,112.5
1987,7,15.8,32.6
1987,8,15.2,87.4
1987,9,12.9,74.8
1987,10,9.3,124.5
1987,11,7.1,47.8
1987,12,7.8,39.5
1988,1,5.7,118.3
1988,2,5.1,34.3
1988,3,7.0,85.4
1988,4,8.8,24.9
1988,5,11.2,72.5
1988,6,14.4,38.1
1988,7,14.2,80.3
1988,8,14.5,54.5
1988,9,12.6,41.1
1988,10,10.5,79.1
1988,11,7.0,23.5
1988,12,8.3,40.5
1989,1,7.6,27.5
1989,2,6.4,42.6
1989,3,7.4,54.7
1989,4,6.8,79.3
1989,5,11.7,13.1
1989,6,13.8,67.8
1989,7,17.7,9.6
1989,8,15.7,81.9
1989,9,13.6,25.1
1989,10,11.9,62.1
1989,11,7.9,35.6
1989,12,6.3,55.9
1990,1,7.2,68.3
1990,2,7.2,108.8
1990,3,8.7,10.2
1990,4,8.0,24.2
1990,5,12.4,39.5
1990,6,13.1,71.3
1990,7,15.8,48.0
1990,8,16.7,49.8
1990,9,12.7,16.4
1990,10,11.5,149.2
1990,11,7.5,64.0
1990,12,5.2,78.7
1991,1,4.4,71.4
1991,2,3.7,59.0
1991,3,7.9,91.1
1991,4,7.8,92.3
1991,5,11.7,3.6
1991,6,12.2,79.8
1991,7,16.0,26.4
1991,8,16.2,36.9
1991,9,14.1,42.8
1991,10,9.8,85.6
1991,11,6.9,50.3
1991,12,7.0,38.1
1992,1,5.9,32.9
1992,2,7.1,23.9
1992,3,7.9,65.1
1992,4,8.4,70.3
1992,5,12.2,39.5
1992,6,15.1,37.4
1992,7,15.6,69.9
1992,8,14.3,85.3
1992,9,12.3,64.2
1992,10,7.8,29.7
1992,11,7.9,64.1
1992,12,5.4,41.6
1993,1,6.9,57.9
1993,2,7.0,19.5
1993,3,7.3,26.2
1993,4,9.7,48.7
1993,5,10.3,149.7
1993,6,14.1,148.3
1993,7,14.8,60.1
1993,8,14.3,36.8
1993,9,12.2,90.0
1993,10,8.4,86.5
1993,11,6.8,45.4
1993,12,5.7,105.7
1994,1,5.6,83.0
1994,2,4.6,99.4
1994,3,7.5,72.1
1994,4,7.5,60.3
1994,5,9.2,52.5
1994,6,12.8,21.2
1994,7,14.7,64.5
1994,8,13.8,58.6
1994,9,11.6,88.3
1994,10,9.9,45.9
1994,11,9.4,54.8
1994,12,6.7,86.0
1995,1,4.6,109.1
1995,2,6.0,92.0
1995,3,5.2,44.7
1995,4,8.3,27.3
1995,5,10.2,49.2
1995,6,13.1,11.6
1995,7,16.3,70.2
1995,8,17.4,7.2
1995,9,12.7,43.6
1995,10,12.4,38.0
1995,11,7.7,145.6
1995,12,4.5,72.7
1996,1,6.0,86.5
1996,2,3.8,62.4
1996,3,4.8,70.3
1996,4,8.2,58.3
1996,5,8.5,69.8
1996,6,13.0,20.8
1996,7,14.9,36.8
1996,8,14.3,102.9
1996,9,12.9,19.0
1996,10,10.9,102.4
1996,11,5.7,103.8
1996,12,4.2,54.3
1997,1,4.2,13.5
1997,2,6.2,62.3
1997,3,7.7,15.1
1997,4,8.8,48.4
1997,5,9.9,61.4
1997,6,12.3,125.3
1997,7,15.0,54.1
1997,8,16.0,81.2
1997,9,13.0,19.1
1997,10,10.5,67.8
1997,11,8.3,87.2
1997,12,6.4,90.5
1998,1,5.6,79.5
1998,2,7.9,14.0
1998,3,7.8,65.9
1998,4,6.8,115.6
1998,5,11.3,27.2
1998,6,13.0,113.1
1998,7,14.4,54.2
1998,8,14.9,45.0
1998,9,13.3,95.8
1998,10,10.1,75.1
1998,11,6.9,76.7
1998,12,6.0,70.3
1999,1,5.4,72.5
1999,2,5.6,32.2
1999,3,7.2,36.4
1999,4,8.8,75.2
1999,5,11.6,39.2
1999,6,12.1,56.3
1999,7,15.9,35.3
1999,8,14.6,106.8
1999,9,14.2,104.3
1999,10,10.3,30.5
1999,11,7.6,43.5
1999,12,4.6,82.5
2000,1,4.9,40.1
2000,2,6.1,46.1
2000,3,7.3,21.0
2000,4,6.4,89.5
2000,5,10.5,50.2
2000,6,13.3,30.9
2000,7,14.6,48.0
2000,8,15.1,62.8
2000,9,13.2,99.9
2000,10,9.3,87.3
2000,11,6.0,141.3
2000,12,5.3,126.3
2001,1,3.6,31.8
2001,2,4.3,49.5
2001,3,5.0,56.2
2001,4,7.2,77.9
2001,5,11.4,49.8
2001,6,12.8,41.5
2001,7,15.1,30.5
2001,8,14.9,97.1
2001,9,12.8,41.7
2001,10,12.2,90.3
2001,11,7.8,40.6
2001,12,4.6,21.7
2002,1,6.8,48.4
2002,2,6.4,125.9
2002,3,7.2,30.3
2002,4,8.1,81.7
2002,5,10.9,121.3
2002,6,13.1,81.2
2002,7,14.4,68.9
2002,8,15.0,50.8
2002,9,12.5,22.6
2002,10,9.5,181.2
2002,11,8.4,185.8
2002,12,6.4,97.5
2003,1,5.1,62.6
2003,2,4.8,20.9
2003,3,6.8,27.1
2003,4,8.9,37.0
2003,5,10.9,97.4
2003,6,13.9,86.8
2003,7,16.2,47.6
2003,8,15.8,14.5
2003,9,13.5,37.4
2003,10,9.0,106.6
2003,11,7.9,55.0
2003,12,5.2,60.4
2004,1,5.4,82.6
2004,2,4.9,19.9
2004,3,6.5,43.9
2004,4,8.7,31.8
2004,5,10.8,49.9
2004,6,14.5,50.6
2004,7,14.4,38.1
2004,8,15.5,133.9
2004,9,13.6,46.8
2004,10,9.2,120.2
2004,11,8.0,39.9
2004,12,6.4,45.0
2005,1,6.7,64.0
2005,2,4.8,40.6
2005,3,7.6,21.9
2005,4,8.0,71.6
2005,5,10.1,67.1
2005,6,14.5,31.2
2005,7,15.5,83.4
2005,8,15.2,26.0
2005,9,13.7,55.8
2005,10,11.6,101.8
2005,11,6.5,46.7
2005,12,5.8,73.0
2006,1,5.6,16.4
2006,2,5.0,37.7
2006,3,5.5,69.7
2006,4,8.0,41.1
2006,5,10.8,116.9
2006,6,14.6,26.5
2006,7,16.9,18.2
2006,8,15.2,57.6
2006,9,14.7,85.2
2006,10,11.6,107.0
2006,11,7.6,69.1
2006,12,6.6,94.6
2007,1,6.7,73.2
2007,2,5.9,77.8
2007,3,6.4,38.8
2007,4,10.6,14.7
2007,5,10.8,35.0
2007,6,13.0,126.4
2007,7,14.2,127.1
2007,8,14.6,95.5
2007,9,13.0,39.2
2007,10,11.0,15.7
2007,11,8.3,53.8
2007,12,6.3,63.8
2008,1,6.4,97.4
2008,2,5.8,14.7
2008,3,6.0,101.8
2008,4,7.6,27.6
2008,5,11.6,32.7
2008,6,12.8,76.4
2008,7,14.8,111.4
2008,8,15.2,189.9
2008,9,12.4,114.1
2008,10,8.9,92.5
2008,11,6.9,44.7
2008,12,4.4,39.4
2009,1,4.3,62.1
2009,2,5.1,56.1
2009,3,6.7,26.2
2009,4,8.3,71.1
2009,5,10.9,75.5
2009,6,13.2,64.3
2009,7,14.9,165.4
2009,8,15.3,69.5
2009,9,12.5,24.2
2009,10,11.1,63.0
2009,11,7.4,171.3
2009,12,3.6,69.1
2010,1,1.7,45.2
2010,2,2.3,36.7
2010,3,4.9,54.8
2010,4,7.7,26.7
2010,5,9.6,38.0
2010,6,14.1,50.3
2010,7,16.0,78.5
2010,8,13.9,48.0
2010,9,13.1,104.3
2010,10,10.1,30.8
2010,11,5.2,100.0
2010,12,-0.1,58.1
2011,1,3.6,29.2
2011,2,7.0,76.1
2011,3,5.8,19.4
2011,4,10.1,28.4
2011,5,11.4,37.0
2011,6,12.0,64.3
2011,7,13.8,42.6
2011,8,13.5,39.7
2011,9,14.0,65.2
2011,10,11.8,169.5
2011,11,9.7,48.5
2011,12,5.8,51.9
2012,1,6.1,63.0
2012,2,6.6,20.5
2012,3,8.0,25.6
2012,4,6.6,90.2
2012,5,9.8,60.4
2012,6,12.7,147.7
2012,7,14.0,85.3
2012,8,15.3,78.1
2012,9,12.0,83.4
2012,10,8.4,71.0
2012,11,6.4,72.0
2012,12,5.4,52.3
2013,1,4.9,94.4
2013,2,4.2,47.3
2013,3,3.1,85.5
2013,4,6.8,40.1
2013,5,10.0,45.8
2013,6,12.7,60.8
2013,7,16.7,68.8
2013,8,15.6,48.5
2013,9,13.0,35.1
2013,10,11.7,127.8
2013,11,6.3,26.6
2013,12,6.9,83.2
2014,1,5.7,101.6
2014,2,5.6,88.5
2014,3,6.8,53.7
2014,4,8.9,34.2
2014,5,11.3,91.5
2014,6,13.6,36.2
2014,7,15.8,35.0
2014,8,13.9,173.0
2014,9,13.1,26.5
2014,10,10.9,90.2
2014,11,7.7,140.9
2014,12,5.4,55.9
2015,1,4.7,47.7
2015,2,4.0,34.6
2015,3,5.8,57.5
2015,4,7.4,43.9
2015,5,9.6,90.5
2015,6,12.9,14.1
2015,7,13.8,69.2
2015,8,14.0,100.1
2015,9,11.8,56.6
2015,10,10.2,49.1
2015,11,8.7,121.6
2015,12,8.6,193.5
2016,1,5.7,118.4
2016,2,4.4,59.7
2016,3,5.9,36.3
2016,4,6.2,88.2
2016,5,11.1,46.8
2016,6,14.0,58.5
2016,7,15.7,43.7
2016,8,15.4,61.9
2016,9,14.3,56.6
2016,10,10.4,60.0
2016,11,5.6,36.9
2016,12,6.7,46.6
2017,1,5.7,21.9
2017,2,6.2,41.6
2017,3,7.7,67.2
2017,4,8.0,10.0
2017,5,11.6,43.5
2017,6,14.4,86.4
2017,7,15.0,42.2
2017,8,14.6,73.2
2017,9,12.4,82.3
2017,10,11.2,47.8
2017,11,6.5,81.5
2017,12,5.3,63.1
2018,1,5.3,93.1
2018,2,3.4,36.9
2018,3,4.3,100.0
2018,4,8.1,68.9
2018,5,11.4,19.1
2018,6,14.5,4.8
2018,7,16.1,40.0
2018,8,15.3,48.0
2018,9,12.2,43.8
2018,10,9.3,42.6
2018,11,8.2,131.2
2018,12,7.7,81.0
2019,1,5.1,26.8
2019,2,7.0,30.5
2019,3,7.3,92.5
2019,4,8.0,74.6
2019,5,10.2,33.4
2019,6,12.5,82.9
2019,7,15.9,41.0
2019,8,15.4,91.9
2019,9,13.0,104.6
2019,10,9.1,77.2
2019,11,6.0,173.0
2019,12,5.9,57.7
2020,1,6.3,36.0
2020,2,5.8,130.4
2020,3,5.8,31.8
2020,4,8.5,12.8
2020,5,10.9,9.3
2020,6,13.4,69.6
2020,7,14.4,98.9
2020,8,14.7,87.1
2020,9,12.8,60.9
2020,10,9.5,80.6
2020,11,8.2,48.1
2020,12,4.9,83.1
2021,1,3.9,115.1
2021,2,6.2,55.0
2021,3,7.2,32.1
2021,4,5.6,10.8
2021,5,9.2,83.5
2021,6,13.7,12.6
2021,7,16.1,72.9
2021,8,14.7,65.3
2021,9,14.7,42.0
2021,10,11.9,79.8
2021,11,7.6,11.7
2021,12,6.5,85.8
2022,1,5.4,14.4
2022,2,6.7,88.5
2022,3,6.6,45.6
2022,4,7.6,28.1
2022,5,11.9,48.4
2022,6,13.6,43.6
2022,7,16.3,29.6
2022,8,15.9,34.6
2022,9,13.0,127.9
2022,10,12.0,106.8
2022,11,8.8,46.1
2022,12,4.4,74.0
2023,1,6.0,41.2
2023,2,7.2,16.2
2023,3,7.0,119.0
2023,4,8.7,77.6
2023,5,11.7,35.9
2023,6,15.3,49.4
2023,7,14.9,149.2
2023,8,15.4,119.4
2023,9,14.5,134.0
2023,10,11.3,125.7
2023,11,7.3,65.1
