Year,CH4 Mean
-797446,399
-796467,458
-795327,396
-794370,418
-792988,428
-792450,420
-791646,451
-790877,470
-790045,466
-789427,503
-788740,483
-788088,540
-787312,543
-786865,562
-786173,589
-785723,659
-784988,713
-784699,699
-784590,739
-784540,723
-784010,677
-783436,686
-782690,639
-782158,653
-781478,618
-780901,639
-780007,623
-779683,633
-778795,630
-778145,616
-777333,598
-776810,614
-776082,681
-775460,658
-774605,601
-774044,618
-773296,577
-772575,583
-771682,549
-771049,566
-770249,530
-770064,539
-769879,543
-769591,556
-769255,639
-768981,647
-768652,632
-768344,630
-768130,622
-767777,616
-767630,587
-767350,570
-766741,568
-765671,486
-765121,519
-764296,467
-763936,462
-763555,470
-763272,500
-763134,535
-762798,518
-762635,563
-762193,549
-761868,556
-761513,538
-760877,521
-760089,474
-759624,473
-758686,454
-758065,462
-757250,434
-756867,421
-756432,486
-756193,498
-756050,498
-755558,505
-755266,480
-755045,473
-754836,439
-754371,419
-753665,445
-753190,429
-752399,406
-752070,410
-750618,431
-749805,401
-749304,428
-748653,408
-748095,400
-747370,378
-746920,409
-746283,392
-745766,405
-745100,402
-744653,428
-744055,415
-743522,432
-742824,421
-742362,422
-741756,439
-741257,422
-740553,402
-740121,409
-739473,388
-738918,414
-738262,411
-737860,403
-737323,408
-736869,407
-736180,423
-735872,508
-735336,542
-734973,561
-734463,546
-734107,541
-733574,518
-733151,531
-732638,520
-732244,519
-731698,530
-731209,525
-730511,521
-730196,537
-729492,512
-729077,538
-728293,545
-727804,551
-726923,530
-726503,559
-725757,531
-725230,541
-724545,504
-723919,561
-722970,478
-722423,581
-721738,560
-721022,566
-719971,515
-719308,491
-718583,401
-717692,408
-716685,392
-716013,403
-715245,399
-714513,435
-713700,531
-713165,570
-712239,577
-711788,593
-711060,597
-710415,588
-709619,573
-709001,591
-708191,556
-707809,568
-707681,611
-706904,521
-706420,512
-705649,505
-705203,519
-704452,610
-704027,610
-703387,585
-702911,602
-702258,588
-701926,593
-701377,582
-700968,605
-700513,594
-700102,584
-699581,571
-699253,595
-698715,578
-698396,581
-697922,566
-697607,594
-697182,604
-696324,588
-696097,605
-695658,604
-694968,624
-694693,645
-694279,643
-694030,647
-693621,632
-693349,652
-692955,635
-692699,639
-692313,629
-692055,615
-691416,590
-691006,602
-690750,596
-690353,557
-690085,570
-689672,568
-689416,584
-688757,561
-688330,549
-688033,555
-687609,540
-687346,557
-686898,542
-686635,538
-686204,527
-685936,529
-685474,538
-684737,523
-684441,521
-683975,514
-683749,508
-682912,520
-682436,504
-682105,499
-681617,498
-681310,494
-680777,543
-680703,523
-680439,505
-679822,486
-679467,482
-678896,490
-678606,466
-678161,446
-677786,460
-677246,544
-677149,500
-676882,494
-676236,495
-675914,491
-675342,464
-675023,466
-674598,455
-674206,536
-673590,551
-673159,554
-672458,564
-672164,562
-671488,512
-671113,529
-670382,471
-669974,462
-669276,439
-669050,483
-668965,489
-667679,396
-666842,390
-666376,385
-665640,365
-665030,374
-664268,376
-662084,414
-660574,384
-659084,402
-657454,359
-655795,344
-654857,398
-654141,414
-652531,397
-650705,409
-648727,414
-646942,426
-644706,429
-642525,429
-641234,386
-640489,369
-637649,373
-634927,373
-632347,361
-629795,376
-627140,356
-625076,386
-624070,474
-623521,478
-622646,573
-622067,572
-621230,618
-620626,661
-619746,627
-619097,609
-617730,602
-616396,604
-615003,611
-613630,617
-612403,620
-611220,601
-610005,620
-608839,593
-607637,583
-606941,577
-606475,578
-605205,538
-603907,533
-602512,503
-601116,526
-599695,542
-598281,534
-596845,544
-595984,496
-595324,465
-593950,448
-593159,463
-592512,539
-591388,510
-590204,483
-588430,428
-587886,480
-586665,468
-585596,451
-584417,470
-580956,482
-580024,488
-579114,484
-578373,505
-578004,521
-577788,609
-577199,618
-576642,602
-576100,602
-575583,579
-575052,597
-574553,584
-574039,589
-573573,581
-573097,600
-572646,605
-572197,620
-571749,598
-571312,613
-570899,612
-570475,614
-570051,604
-569652,610
-569229,594
-568816,597
-568419,580
-567997,588
-567598,589
-567209,590
-566821,589
-566430,613
-566037,615
-565642,603
-565268,620
-564889,626
-564501,618
-564108,627
-563735,577
-563335,589
-562959,581
-562572,579
-562185,550
-561781,554
-561394,529
-560969,532
-560549,495
-560138,497
-559692,486
-559453,484
-558972,464
-558500,511
-558291,516
-557811,501
-557290,492
-556745,468
-556227,443
-555723,443
-555223,496
-554778,531
-554168,575
-553664,578
-553173,557
-552630,519
-552016,501
-551369,471
-550730,431
-550370,443
-549988,491
-549147,477
-548353,472
-547504,456
-546587,434
-545584,390
-544707,409
-543499,418
-542398,427
-541241,405
-540030,408
-538846,391
-537669,400
-536985,415
-536460,448
-535779,467
-535288,497
-534188,490
-532968,449
-531901,458
-530766,422
-529680,420
-528619,450
-527624,441
-526751,464
-526244,520
-525928,518
-525140,529
-524364,541
-523635,538
-522873,534
-522128,518
-521367,534
-520640,516
-519955,535
-519311,522
-518647,524
-516722,499
-516095,512
-515467,507
-514822,508
-514454,501
-514179,477
-513808,483
-513545,519
-512855,507
-512168,496
-511447,488
-510717,486
-509976,487
-509240,495
-508492,520
-507715,533
-506957,557
-506165,582
-505450,573
-504742,601
-503999,579
-503205,524
-502530,566
-501855,549
-501088,515
-500299,517
-499621,522
-498827,512
-498068,496
-497326,499
-496577,509
-495823,506
-495060,516
-494322,522
-493563,514
-492788,496
-491993,517
-491212,500
-490438,501
-489656,534
-488880,584
-488165,558
-487434,588
-486693,624
-485983,615
-485270,583
-484505,583
-483767,569
-482970,543
-482156,544
-481327,516
-480458,507
-479602,504
-478687,492
-478135,504
-477760,531
-476752,496
-475725,528
-474822,517
-473834,504
-472782,475
-471724,456
-470676,440
-469662,482
-468523,482
-467473,443
-466430,430
-465727,491
-465120,491
-463719,442
-462300,448
-460897,491
-460140,463
-459597,521
-458767,424
-458210,409
-456941,398
-455474,408
-454061,412
-453290,434
-452736,468
-451942,486
-451474,426
-450249,403
-449151,384
-447962,381
-446738,389
-445664,427
-444981,506
-444629,474
-443812,452
-443273,409
-442632,427
-442236,491
-441583,439
-441117,439
-439926,438
-438720,400
-438146,405
-436481,392
-435708,395
-434513,385
-433365,381
-432152,381
-431120,392
-429964,389
-429244,394
-428848,385
-428083,380
-427839,382
-427183,406
-426829,472
-425901,418
-425435,412
-425132,465
-424663,459
-424447,463
-424077,457
-423663,508
-423279,503
-423224,498
-423017,584
-422934,605
-422766,618
-422458,604
-422266,598
-421876,622
-421401,649
-421069,660
-420596,689
-420207,672
-420031,689
-419615,684
-419406,703
-418792,699
-418496,678
-418291,695
-417926,674
-417725,687
-417416,665
-416940,655
-416672,660
-416366,658
-416155,635
-415813,668
-415618,647
-415307,671
-415132,634
-414621,633
-414310,630
-414087,623
-413835,620
-413618,639
-413132,638
-412626,677
-412082,696
-411611,690
-411117,656
-410632,659
-410112,712
-409661,700
-409221,694
-408789,701
-408357,713
-407920,710
-407524,699
-407115,714
-406740,711
-406360,695
-405959,681
-405594,710
-405222,736
-404873,691
-404503,672
-404119,708
-403778,700
-403418,659
-403059,663
-402715,661
-402304,674
-401951,664
-401602,681
-401229,653
-400866,640
-400505,642
-400140,646
-399759,633
-399386,627
-399029,628
-398642,662
-398254,607
-397858,607
-397465,580
-397070,593
-396645,608
-396225,612
-395811,600
-395389,605
-394964,590
-394574,602
-394107,594
-393604,603
-393178,585
-392727,594
-392246,550
-391749,562
-391243,485
-390716,498
-390195,489
-389582,488
-389025,506
-388440,525
-387821,568
-387165,472
-386472,452
-385818,463
-385228,531
-384665,637
-384080,594
-383502,577
-382907,553
-382341,561
-381763,536
-381175,482
-380597,587
-380005,601
-379473,548
-378913,544
-378306,548
-377757,485
-377169,494
-375380,442
-374756,445
-374156,433
-373501,426
-372835,426
-372142,445
-371517,451
-370943,540
-370378,523
-369813,502
-369184,491
-368547,508
-367967,518
-367374,444
-366788,422
-366124,422
-365481,460
-364900,403
-364256,416
-363627,460
-362992,416
-362319,449
-361699,413
-361093,487
-360491,433
-359892,466
-359272,420
-358563,415
-357913,456
-357252,418
-356624,417
-355907,431
-355244,435
-354554,420
-353892,404
-353255,403
-352586,406
-351894,395
-351272,405
-350696,397
-349809,403
-349476,414
-348506,402
-348219,392
-347396,407
-347096,459
-346223,421
-345902,403
-345254,417
-344658,391
-343729,389
-343401,374
-342533,368
-342161,375
-341471,366
-340886,370
-339890,394
-339541,395
-338576,439
-338260,449
-337447,460
-337172,465
-336657,445
-336615,445
-336151,453
-335464,486
-335237,486
-334702,504
-334493,496
-333996,531
-333798,537
-333360,566
-333212,570
-332828,597
-332687,581
-332336,652
-332194,631
-331889,607
-331768,604
-331554,590
-331334,599
-331038,797
-330925,798
-330626,776
-330507,738
-330199,726
-330090,721
-329832,673
-329475,649
-329338,636
-328950,637
-328805,615
-328431,637
-328292,621
-327920,663
-327777,643
-327376,658
-327229,636
-326792,669
-326132,657
-325751,662
-325613,642
-325219,654
-325077,644
-324673,634
-324537,611
-324148,635
-324000,633
-323605,644
-323467,626
-323047,617
-322891,612
-322459,590
-322291,580
-321863,568
-321722,593
-321278,557
-321114,544
-320626,533
-320456,519
-319960,528
-319781,519
-319264,529
-319073,521
-318522,503
-318318,498
-317715,480
-317511,478
-316887,479
-316670,481
-316059,480
-315851,445
-315280,459
-315077,465
-314522,515
-314339,607
-313813,635
-313615,598
-313095,606
-312905,618
-312348,634
-312160,553
-311601,568
-311436,548
-310920,540
-310723,522
-310101,516
-309912,515
-309283,517
-309077,470
-308483,493
-308246,461
-307610,460
-307372,467
-306720,509
-306500,478
-305845,466
-305606,459
-304919,485
-304688,459
-304054,449
-303852,451
-303287,505
-303097,498
-302522,490
-302312,491
-301687,477
-301482,466
-300898,462
-300667,456
-300106,453
-299874,453
-299192,487
-298971,459
-298372,520
-298172,518
-297788,496
-297141,518
-296943,519
-296235,491
-295995,467
-295315,505
-295110,488
-294516,524
-294308,587
-293715,564
-293508,552
-292845,501
-292584,489
-291916,521
-291676,482
-291009,454
-290818,444
-290438,453
-290079,448
-289683,459
-289279,454
-288218,524
-287901,547
-287575,531
-287241,530
-286883,532
-286532,511
-286176,521
-285877,514
-285545,529
-285209,520
-284888,507
-284545,500
-284186,495
-283839,486
-283481,470
-283120,457
-282783,477
-282416,465
-282036,509
-281661,499
-281303,471
-280941,453
-280561,425
-280171,468
-279782,457
-279352,448
-278943,462
-278396,473
-278197,455
-277818,463
-277363,420
-276760,438
-276506,428
-275845,466
-275599,480
-275151,452
-274724,467
-274320,504
-273874,479
-273408,455
-272934,475
-272466,463
-271998,467
-271553,483
-270833,451
-270562,470
-269882,445
-269657,453
-269167,458
-268698,441
-268252,460
-267593,439
-267348,454
-266898,423
-266446,454
-266005,418
-265567,414
-265118,425
-264679,384
-264280,417
-263843,422
-263419,412
-263028,415
-262645,398
-262273,417
-261893,414
-261512,462
-261191,509
-260795,482
-260387,480
-259998,443
-259609,424
-259207,452
-258849,456
-258456,434
-258067,451
-257721,473
-257329,430
-256941,496
-256562,510
-256213,493
-255672,450
-255490,465
-255128,483
-254743,466
-254350,475
-254016,448
-253597,422
-253204,442
-252837,405
-252492,420
-251959,427
-251738,426
-251351,398
-250980,401
-250592,396
-250207,395
-249782,401
-248670,432
-248311,408
-247957,413
-247596,410
-247229,408
-246901,466
-246578,473
-246088,540
-245911,525
-245613,525
-245123,545
-244934,508
-244582,513
-244243,486
-243934,475
-243645,494
-243272,503
-243130,502
-242900,519
-242660,523
-242435,528
-242205,528
-241972,541
-241756,546
-241488,558
-241396,538
-240973,542
-240883,525
-240723,519
-240647,515
-240560,521
-240406,539
-240328,523
-240248,594
-240096,680
-240027,696
-239957,673
-239804,653
-239740,667
-239667,648
-239428,661
-239329,641
-239154,623
-239075,627
-238987,611
-238811,616
-238721,616
-238629,609
-238441,599
-238353,606
-238263,601
-238077,592
-237984,597
-237885,594
-237711,562
-237624,577
-237540,566
-237318,564
-237204,579
-237099,565
-236998,559
-236898,549
-236804,588
-236691,549
-236465,550
-236368,566
-236159,554
-236031,557
-235924,565
-235815,539
-235482,548
-235359,545
-235158,543
-235042,554
-234912,529
-234661,518
-234440,512
-234151,481
-233970,508
-233742,499
-233477,478
-233128,462
-232987,519
-232731,453
-232481,433
-232199,426
-231924,430
-231643,457
-231377,429
-231103,419
-230811,434
-230484,440
-230185,433
-229894,429
-229455,431
-229260,429
-228914,417
-228572,456
-228231,506
-227927,474
-227471,464
-227311,473
-226992,471
-226642,490
-226297,517
-225938,491
-225582,504
-225235,503
-224763,547
-224587,547
-224306,532
-223956,556
-222950,516
-222737,496
-222382,476
-221918,504
-221652,464
-221316,489
-220979,543
-220629,519
-220338,528
-220035,504
-219694,495
-219374,501
-219038,488
-218729,491
-218426,484
-218115,477
-217825,538
-217543,508
-217266,489
-216998,469
-216733,461
-216475,495
-216218,460
-215817,453
-215692,445
-215456,452
-215216,443
-214990,454
-214452,480
-213965,457
-213481,506
-213015,569
-212569,561
-212102,591
-211638,574
-211179,573
-210742,586
-210311,583
-209852,577
-209400,593
-208954,579
-208528,558
-208103,565
-207663,548
-207203,532
-206763,511
-206403,515
-205836,504
-205390,513
-204902,499
-204401,487
-203932,506
-203426,490
-202936,488
-202401,462
-201847,493
-201302,436
-200726,489
-200213,466
-199709,541
-199344,539
-198791,530
-198398,539
-197400,627
-196954,668
-196515,609
-196086,598
-195632,579
-195165,589
-194666,564
-194154,548
-193655,534
-193113,530
-192550,488
-191965,472
-191329,493
-190742,503
-190150,512
-189652,496
-189120,471
-188309,470
-187651,432
-187073,423
-186547,425
-185981,462
-185466,446
-184962,437
-184256,447
-183593,459
-182905,476
-182258,514
-181766,532
-180965,530
-180323,528
-179614,496
-179069,496
-178270,490
-177627,452
-176969,483
-176471,479
-175828,542
-175301,550
-174724,547
-174079,499
-173391,466
-172789,471
-172236,457
-171683,427
-171189,456
-170480,433
-169397,480
-168816,484
-168213,448
-167603,442
-167051,478
-166542,445
-166061,496
-165540,495
-164957,479
-164360,449
-163783,433
-163198,424
-162599,384
-162024,393
-161415,417
-160896,411
-160371,442
-159840,413
-159389,424
-158661,410
-158058,415
-157526,407
-157048,440
-156570,407
-156047,410
-155481,400
-154833,422
-154208,399
-153615,407
-153072,385
-152515,393
-151972,403
-151388,402
-150831,413
-150411,426
-149765,422
-149233,432
-148698,400
-148176,404
-147686,441
-147240,433
-146632,428
-146084,471
-145559,423
-145098,421
-144483,410
-144079,402
-143449,391
-142884,375
-142352,401
-141849,401
-141260,385
-140827,375
-140217,368
-139668,359
-139125,349
-138568,342
-138021,358
-137455,432
-136919,368
-136501,406
-135869,395
-135575,395
-134856,375
-134422,409
-133853,382
-133352,404
-132850,415
-132439,436
-132034,428
-131653,506
-131289,449
-130926,460
-130596,462
-130258,461
-129956,456
-129674,479
-129401,494
-129163,493
-128925,487
-128690,518
-128459,521
-128283,499
-128061,512
-127856,515
-127679,531
-127495,551
-127324,552
-127147,537
-126971,535
-126800,644
-126635,726
-126473,722
-126320,704
-126158,715
-125983,706
-125824,692
-125687,679
-125646,681
-125471,677
-125278,670
-125080,646
-124906,650
-124729,651
-124537,640
-124322,660
-124109,650
-123915,658
-123684,656
-123486,647
-123275,642
-123071,642
-122872,627
-122704,632
-122440,622
-122243,621
-122048,614
-121850,611
-121639,616
-121438,615
-121232,608
-121053,607
-120817,607
-120605,599
-120407,608
-120211,607
-119997,609
-119792,603
-119586,610
-119384,613
-119173,601
-118965,598
-118763,613
-118547,591
-118323,568
-118120,576
-117892,566
-117679,571
-117462,567
-117290,591
-117013,579
-116794,578
-116559,565
-116319,579
-116086,545
-115866,548
-115390,546
-115145,533
-114892,544
-114649,528
-114388,504
-114123,495
-113863,501
-113586,496
-113315,501
-113052,472
-112779,474
-112506,473
-111937,471
-111646,471
-111384,451
-111003,467
-110683,464
-110361,455
-110035,456
-109699,474
-109359,473
-109032,496
-108720,492
-108380,505
-108043,502
-107699,509
-107361,495
-107012,508
-106627,486
-106235,475
-105868,464
-105530,460
-105207,445
-104899,483
-104598,591
-104326,595
-104042,601
-103749,618
-103414,572
-103084,596
-102774,602
-102470,581
-102154,573
-101837,559
-101508,515
-101207,498
-100893,470
-100592,472
-100295,509
-100072,491
-99741,511
-99481,542
-99219,538
-98949,547
-98669,537
-98379,547
-98074,530
-97805,530
-97542,525
-97273,526
-96992,526
-96716,524
-96443,512
-96195,511
-95934,506
-95672,505
-95396,487
-95135,491
-94876,501
-94607,495
-94348,479
-94071,486
-93809,464
-93538,453
-93286,435
-93013,442
-92751,453
-92507,436
-92248,454
-91991,434
-91733,442
-91481,436
-90942,439
-90662,442
-90396,437
-90113,437
-89847,447
-89602,448
-89288,432
-89012,437
-88744,461
-88450,447
-88164,445
-87631,463
-87372,476
-87111,494
-86828,494
-86559,501
-86251,508
-85951,502
-85664,507
-85390,480
-85054,446
-84776,448
-84522,429
-84258,468
-83996,425
-83816,429
-83491,454
-83255,452
-82999,443
-82751,450
-82511,445
-82275,464
-82022,465
-81789,485
-81561,515
-81327,560
-81117,631
-80916,629
-80690,622
-80468,616
-80262,617
-80033,606
-79791,571
-79574,595
-79334,576
-79126,584
-78852,548
-78620,549
-78372,550
-78154,535
-77924,563
-77676,536
-77448,515
-77197,515
-76961,512
-76696,497
-76416,487
-76200,477
-75935,463
-75644,450
-75367,475
-75106,472
-74846,442
-74579,442
-74291,466
-74022,422
-73762,438
-73475,424
-73189,415
-72935,416
-72681,461
-72441,477
-72207,467
-71966,469
-71735,461
-71483,451
-71175,452
-70904,448
-70579,453
-70259,457
-69941,432
-69661,432
-69403,431
-69148,449
-68916,482
-68683,475
-68495,470
-68221,473
-67983,490
-67636,450
-67410,462
-67026,460
-66734,474
-66329,456
-66086,451
-65782,480
-65482,471
-65126,453
-64868,459
-64539,449
-64305,461
-63976,444
-63665,476
-63309,457
-63034,461
-62704,462
-62400,440
-62067,434
-61817,489
-61482,484
-61253,468
-60869,444
-60606,444
-60252,430
-60007,439
-59697,431
-59101,432
-58898,437
-58862,412
-58598,425
-58391,430
-58099,426
-57915,443
-57640,425
-57416,435
-57104,442
-56930,454
-56660,523
-56441,502
-56208,554
-56043,561
-55771,520
-55586,515
-55306,542
-54893,554
-54840,543
-54642,550
-54366,546
-53857,483
-53846,534
-53642,466
-53338,461
-53135,514
-52881,476
-52453,462
-52150,437
-51922,438
-51739,438
-51482,513
-51249,535
-51039,530
-50864,529
-50582,543
-50399,567
-50170,527
-49933,531
-49671,517
-49477,544
-49194,515
-48971,510
-48672,493
-48491,489
-48242,470
-47940,492
-47766,452
-47538,434
-47307,464
-46989,461
-46728,435
-46223,414
-46002,453
-45718,437
-45521,425
-45271,441
-45238,432
-45038,440
-44795,493
-44599,499
-44389,514
-44264,497
-43927,499
-43748,487
-43464,467
-43284,490
-43039,462
-42725,469
-42453,427
-42212,431
-41913,411
-41640,415
-41487,437
-41395,463
-41169,482
-41086,486
-40934,470
-40889,471
-40729,446
-40546,456
-40346,415
-40213,416
-40101,429
-39977,414
-39737,458
-39511,467
-39420,465
-39401,465
-39315,462
-39307,465
-39273,457
-39216,442
-39160,433
-39119,434
-39108,420
-39001,433
-38910,422
-38898,447
-38854,426
-38699,419
-38686,413
-38475,420
-38421,429
-38344,450
-38269,440
-38261,448
-38212,442
-38102,414
-38081,422
-38047,424
-37858,411
-37841,419
-37804,419
-37641,427
-37423,444
-37226,450
-37070,441
-36847,455
-36471,440
-36287,443
-36095,526
-35943,481
-35899,540
-35801,539
-35725,547
-35609,544
-35574,557
-35565,560
-35456,580
-35417,563
-35348,572
-35250,548
-35238,536
-35177,587
-35038,534
-34987,534
-34663,524
-34572,494
-34424,469
-34358,471
-34154,441
-34050,440
-33943,441
-33891,425
-33814,426
-33700,444
-33539,421
-33380,427
-33288,492
-33231,498
-33111,514
-32996,513
-32954,520
-32951,519
-32718,489
-32628,457
-32581,447
-32387,428
-32235,430
-32129,430
-32096,420
-31907,419
-31860,415
-31785,426
-31738,479
-31530,461
-31298,444
-31252,443
-31198,440
-31110,428
-31076,424
-30954,432
-30864,415
-30818,404
-30695,405
-30638,410
-30465,409
-30420,452
-30304,431
-30213,471
-30119,457
-29945,441
-29843,422
-29806,427
-29454,412
-29248,404
-29024,392
-28811,408
-28668,410
-28198,392
-28030,399
-27751,391
-27369,368
-27141,388
-26814,444
-26552,414
-26336,402
-26186,399
-25946,382
-25730,426
-25554,406
-25386,396
-25124,386
-24968,387
-24681,396
-24040,364
-23874,355
-23649,365
-23379,370
-22977,372
-22771,389
-22566,373
-22349,360
-22134,375
-21938,398
-21797,386
-21522,390
-21329,390
-21180,390
-20945,385
-20768,407
-20036,355
-19836,357
-19520,357
-19268,354
-19004,365
-18758,378
-18519,367
-18516,384
-18174,375
-18013,374
-17743,351
-17730,356
-17529,377
-17501,358
-17367,366
-16940,379
-16923,373
-16569,371
-16558,378
-16540,371
-16306,375
-15973,371
-15959,377
-15839,366
-15593,384
-15581,366
-15556,375
-15366,371
-15125,389
-15096,395
-14883,381
-14876,408
-14667,404
-14654,409
-14480,405
-14293,427
-14263,424
-14110,419
-13920,473
-13915,438
-13894,441
-13605,456
-13595,441
-13443,452
-13267,451
-13253,463
-13016,476
-12920,470
-12761,459
-12605,469
-12597,470
-12585,461
-12362,476
-12339,465
-12060,569
-12001,597
-11992,578
-11821,612
-11696,630
-11687,623
-11675,619
-11547,613
-11478,619
-11468,625
-11406,628
-11305,646
-11129,653
-11120,670
-10960,662
-10934,661
-10797,646
-10786,610
-10655,643
-10535,627
-10527,651
-10388,542
-10144,479
-10089,467
-10083,480
-9971,462
-9858,483
-9848,462
-9767,477
-9675,468
-9660,488
-9460,469
-9383,559
-9375,643
-9266,665
-9180,654
-9174,653
-9128,633
-9116,650
-8975,703
-8922,679
-8868,673
-8862,694
-8757,681
-8709,685
-8662,666
-8654,671
-8568,652
-8528,669
-8459,661
-8444,672
-8324,688
-8303,682
-8254,678
-8242,694
-8148,698
-8086,717
-8012,678
-7932,685
-7885,675
-7851,682
-7844,670
-7769,674
-7750,676
-7690,693
-7642,683
-7637,689
-7583,685
-7560,682
-7510,675
-7441,676
-7362,674
-7355,671
-7331,675
-7257,663
-7199,666
-7185,665
-7184,664
-7135,665
-7131,671
-7070,664
-7011,671
-6956,648
-6892,657
-6882,674
-6821,658
-6814,676
-6758,675
-6698,659
-6694,671
-6599,657
-6573,662
-6502,654
-6485,654
-6428,660
-6421,648
-6381,665
-6323,649
-6319,647
-6252,660
-6221,641
-6205,642
-6158,640
-6139,651
-6118,624
-6116,633
-6103,626
-6089,606
-6062,632
-6035,660
-6007,624
-5963,613
-5942,589
-5924,612
-5921,600
-5907,598
-5891,620
-5873,614
-5828,612
-5819,611
-5812,620
-5773,618
-5754,623
-5738,620
-5720,623
-5710,619
-5666,620
-5623,623
-5594,617
-5573,617
-5548,610
-5546,625
-5480,617
-5458,602
-5455,612
-5360,623
-5339,602
-5303,618
-5259,618
-5177,623
-5156,607
-5155,612
-5070,610
-5066,631
-5011,614
-4974,607
-4951,633
-4867,605
-4788,608
-4759,603
-4758,636
-4741,604
-4687,607
-4660,595
-4657,601
-4648,599
-4592,602
-4553,602
-4503,617
-4454,588
-4435,587
-4400,581
-4396,580
-4391,577
-4354,592
-4314,583
-4307,577
-4302,590
-4166,590
-4108,597
-4083,581
-4079,597
-4072,592
-4043,602
-4039,564
-3965,584
-3920,570
-3884,575
-3762,586
-3734,584
-3707,581
-3703,570
-3701,578
-3693,571
-3648,591
-3607,568
-3600,563
-3576,581
-3524,580
-3508,566
-3468,570
-3414,565
-3387,577
-3322,564
-3320,561
-3271,574
-3206,558
-3199,553
-3162,551
-3118,563
-3052,561
-2918,568
-2914,573
-2899,570
-2873,579
-2805,563
-2790,570
-2751,560
-2733,563
-2675,560
-2639,580
-2601,560
-2546,580
-2524,562
-2521,582
-2511,568
-2490,570
-2416,570
-2407,584
-2375,579
-2359,568
-2355,577
-2223,582
-2192,570
-2132,563
-2129,576
-2044,568
-2036,549
-2015,575
-1955,578
-1942,574
-1823,576
-1747,581
-1740,578
-1664,578
-1652,596
-1622,575
-1567,560
-1556,570
-1483,573
-1410,589
-1358,581
-1260,568
-1189,589
-1157,576
-1076,573
-1048,581
-927,577
-907,577
-850,578
-843,580
-785,583
-774,588
-770,580
-767,590
-674,586
-652,592
-569,590
-565,603
-532,579
-474,592
-464,604
-439,593
-375,597
-371,594
-359,595
-325,597
-258,602
-169,609
-165,594
-154,591
-95,604
-45,599
-1,605
43,613
157,613
176,618
224,623
233,615
273,623
321,623
330,610
399,630
423,632
507,638
519,631
601,650
612,635
702,635
725,629
733,643
818,644
858,633
913,635
1004,636
1011,640
1053,648
1081,647
1089,664
1208,643
1214,680
1272,669
1282,667
1396,680
1411,668
1417,670
1472,644
1491,670
1547,681
1568,684
1605,651
1653,676
1692,679
1743,683
1748,696
1766,727
1799,710
1820,762
1824,784
1937,907
1938,1053.0
1940,1059.9
1941,1055.7
1941,1062.2
1942,1069.1
1944,1082.5
1946,1081.8
1950,1103.7
1950,1102.9
1955,1143.5
1955,1140.0
1955,1145.3
1956,1164.3
1956,1171.8
1956,1183.8
1957,1179.5
1957,1186.4
1961,1218.5
1964,1258.7
1964,1248.6
1964,1273.3
1964,1260.6
1965,1261.3
1967,1285.2
1967,1278.4
1967,1288.5
1970,1351.7
1971,1357.2
1972,1380.3
1972,1379.9
1973,1385.8
1974,1421.5
1975,1420.4
1977,1458.1
1980,1479.7
1980,1479.3
1984,1644.85
1985,1657.29
1986,1670.09
1987,1682.7
1988,1693.28
1989,1704.53
1990,1714.43
1991,1724.78
1992,1735.47
1993,1736.53
1994,1742.07
1995,1748.88
1996,1751.28
1997,1754.48
1998,1765.54
1999,1772.33
2000,1773.22
2001,1771.22
2002,1772.66
2003,1777.33
2004,1777.05
2005,1774.16
2006,1774.94
2007,1781.38
2008,1787.01
2009,1793.52
2010,1798.91
2011,1803.14
2012,1808.12
2013,1813.43
2014,1822.53
2015,1834.26
2016,1843.12
2017,1849.58
2018,1857.33
2019,1866.58
2020,1878.93
2021,1895.28
2022,1911.83
